277,Nebraska,Big Ten,Sean Beckton,400000,13333,386667,386667,13333,4205000
278,Indiana,Big Ten,Grant Heard,400000,15385,384615,384615,15385,3480810
279,Iowa,Big Ten,Kelvin Bell,425000,42500,382500,382500,42500,4753600
280,Wisconsin,Big Ten,Chris Haering,450000,67500,382500,382500,78750,4192111
281,Arkansas,SEC,Justin Stepp,400000,20000,380000,380000,40000,5036250
282,Maryland,Big Ten,John Reagan,377750,0,377750,377750,0,3569567
283,Michigan State,Big Ten,Courtney Hawkins,387000,11288,375712,375712,19350,5717438
284,Mississippi State,SEC,Jason Washington,375000,0,375000,375000,0,4300000
285,Arizona State,Pac-12,Dave Christensen,375000,0,375000,375000,0,3700000
286,Louisville,ACC,Mark Ivey,375000,0,375000,375000,0,4555000
287,Auburn,SEC,Al Pogue,375000,0,375000,375000,0,6760000
288,Mississippi State,SEC,Eric Mele,375000,0,375000,375000,0,4300000
289,Mississippi State,SEC,David Nichol,375000,0,375000,375000,0,4300000
290,Mississippi State,SEC,Darcel McBath,375000,0,375000,375000,0,4300000
291,Illinois,Big Ten,Bob Ligashesky,380000,5700,374300,374300,34200,4001675
292,Illinois,Big Ten,Bob McClain,380000,5700,374300,374300,34200,4001675
293,South Carolina,SEC,Bobby Bentley,400000,28233,371767,371767,28233,5095792
294,NC State,ACC,John Garrison,400000,28333,371667,371667,55000,3957436
295,NC State,ACC,Charley Wiles,400000,28333,371667,371667,55000,3957436
296,Illinois,Big Ten,Andrew Hayes-Stoker,375000,5625,369375,369375,33750,4001675
297,Washington,Pac-12,Junior Adams,375000,6563,368437,368437,11563,5059925
298,Oklahoma State,Big 12,Jason McEndoo,365000,0,365000,365000,0,4736875
299,Virginia,ACC,Jason Beck,390000,25188,364812,364812,25188,3572868
300,Virginia,ACC,Kelly Poppinga,390000,25188,364812,364812,25188,3572868
301,Colorado,Pac-12,Mitch Rodrigue,375000,11719,363281,363281,18750,3319193
302,Nebraska,Big Ten,Tony Tuioti,375000,12500,362500,362500,12500,4205000
303,Nebraska,Big Ten,Mario Verduzco,375000,12500,362500,362500,12500,4205000
304,Wisconsin,Big Ten,Inoke Breckterfield,425000,63750,361250,361250,74375,4192111
305,Wisconsin,Big Ten,John Settle,425000,63750,361250,361250,74375,4192111
306,Wisconsin,Big Ten,Robert Bostad,425000,63750,361250,361250,74375,4192111
307,Wisconsin,Big Ten,Bobby April,425000,63750,361250,361250,74375,4192111
308,Indiana,Big Ten,Mike Hart,375001,14423,360578,360578,14423,3480810
309,Indiana,Big Ten,Jason Jones,375000,14423,360577,360577,14423,3480810
